feature
height
weight
bust
waist
hips
age
shoulder_width
bmi
whr
bwr
shr
sbr
swr
body_shape_v2_enc
body_type_enc
height_bucket_enc
weight_bucket_enc
age_group_enc
category_grouped_enc
shoulder_bucket_enc
source_enc
